client_id,client_first_name,client_last_name,client_birthdate,client_address,client_additional_address,client_zip_code,client_city,client_phone_number_1,client_phone_number_2,client_email_address,client_comment
1,#RandomString(20),#RandomString(20),"#RandomDate(DATE(1920, 1, 1), DATE(2010, 12, 31))",#RandomString(20),#RandomString(20),"#RandomInt(1000, 3500)",#RandomString(20),#RandomString(20),#RandomString(20),"#CONCAT(RandomString(8), ""."", RandomString(8), ""@"", RandomString(8), "".com"")",
2,#RandomString(20),#RandomString(20),"#RandomDate(DATE(1920, 1, 1), DATE(2010, 12, 31))",#RandomString(20),#RandomString(20),"#RandomInt(1000, 3500)",#RandomString(20),#RandomString(20),#RandomString(20),"#CONCAT(RandomString(8), ""."", RandomString(8), ""@"", RandomString(8), "".com"")",
3,#RandomString(20),#RandomString(20),"#RandomDate(DATE(1920, 1, 1), DATE(2010, 12, 31))",#RandomString(20),#RandomString(20),"#RandomInt(1000, 3500)",#RandomString(20),#RandomString(20),#RandomString(20),"#CONCAT(RandomString(8), ""."", RandomString(8), ""@"", RandomString(8), "".com"")",
4,#RandomString(20),#RandomString(20),"#RandomDate(DATE(1920, 1, 1), DATE(2010, 12, 31))",#RandomString(20),#RandomString(20),"#RandomInt(1000, 3500)",#RandomString(20),#RandomString(20),#RandomString(20),"#CONCAT(RandomString(8), ""."", RandomString(8), ""@"", RandomString(8), "".com"")",
5,#RandomString(20),#RandomString(20),"#RandomDate(DATE(1920, 1, 1), DATE(2010, 12, 31))",#RandomString(20),#RandomString(20),"#RandomInt(1000, 3500)",#RandomString(20),#RandomString(20),#RandomString(20),"#CONCAT(RandomString(8), ""."", RandomString(8), ""@"", RandomString(8), "".com"")",
6,#RandomString(20),#RandomString(20),"#RandomDate(DATE(1920, 1, 1), DATE(2010, 12, 31))",#RandomString(20),#RandomString(20),"#RandomInt(1000, 3500)",#RandomString(20),#RandomString(20),#RandomString(20),"#CONCAT(RandomString(8), ""."", RandomString(8), ""@"", RandomString(8), "".com"")",
7,#RandomString(20),#RandomString(20),"#RandomDate(DATE(1920, 1, 1), DATE(2010, 12, 31))",#RandomString(20),#RandomString(20),"#RandomInt(1000, 3500)",#RandomString(20),#RandomString(20),#RandomString(20),"#CONCAT(RandomString(8), ""."", RandomString(8), ""@"", RandomString(8), "".com"")",
8,#RandomString(20),#RandomString(20),"#RandomDate(DATE(1920, 1, 1), DATE(2010, 12, 31))",#RandomString(20),#RandomString(20),"#RandomInt(1000, 3500)",#RandomString(20),#RandomString(20),#RandomString(20),"#CONCAT(RandomString(8), ""."", RandomString(8), ""@"", RandomString(8), "".com"")",
9,#RandomString(20),#RandomString(20),"#RandomDate(DATE(1920, 1, 1), DATE(2010, 12, 31))",#RandomString(20),#RandomString(20),"#RandomInt(1000, 3500)",#RandomString(20),#RandomString(20),#RandomString(20),"#CONCAT(RandomString(8), ""."", RandomString(8), ""@"", RandomString(8), "".com"")",
10,#RandomString(20),#RandomString(20),"#RandomDate(DATE(1920, 1, 1), DATE(2010, 12, 31))",#RandomString(20),#RandomString(20),"#RandomInt(1000, 3500)",#RandomString(20),#RandomString(20),#RandomString(20),"#CONCAT(RandomString(8), ""."", RandomString(8), ""@"", RandomString(8), "".com"")",
11,#RandomString(20),#RandomString(20),"#RandomDate(DATE(1920, 1, 1), DATE(2010, 12, 31))",#RandomString(20),#RandomString(20),"#RandomInt(1000, 3500)",#RandomString(20),#RandomString(20),#RandomString(20),"#CONCAT(RandomString(8), ""."", RandomString(8), ""@"", RandomString(8), "".com"")",
12,#RandomString(20),#RandomString(20),"#RandomDate(DATE(1920, 1, 1), DATE(2010, 12, 31))",#RandomString(20),#RandomString(20),"#RandomInt(1000, 3500)",#RandomString(20),#RandomString(20),#RandomString(20),"#CONCAT(RandomString(8), ""."", RandomString(8), ""@"", RandomString(8), "".com"")",
13,#RandomString(20),#RandomString(20),"#RandomDate(DATE(1920, 1, 1), DATE(2010, 12, 31))",#RandomString(20),#RandomString(20),"#RandomInt(1000, 3500)",#RandomString(20),#RandomString(20),#RandomString(20),"#CONCAT(RandomString(8), ""."", RandomString(8), ""@"", RandomString(8), "".com"")",
14,#RandomString(20),#RandomString(20),"#RandomDate(DATE(1920, 1, 1), DATE(2010, 12, 31))",#RandomString(20),#RandomString(20),"#RandomInt(1000, 3500)",#RandomString(20),#RandomString(20),#RandomString(20),"#CONCAT(RandomString(8), ""."", RandomString(8), ""@"", RandomString(8), "".com"")",
15,#RandomString(20),#RandomString(20),"#RandomDate(DATE(1920, 1, 1), DATE(2010, 12, 31))",#RandomString(20),#RandomString(20),"#RandomInt(1000, 3500)",#RandomString(20),#RandomString(20),#RandomString(20),"#CONCAT(RandomString(8), ""."", RandomString(8), ""@"", RandomString(8), "".com"")",
